귀속연월,법인코드,대분류,중분류,계정과목,현지통화,현지금액,적용환율,KRW금액
2026-01,KCTR,PL,매출,매출액,TRY,"93,531,067.74",40.00,"3,741,242,710"
2026-01,KCTR,PL,매출,상품매출,TRY,"93,531,067.74",40.00,"3,741,242,710"
2026-01,KCTR,PL,매출,기타매출,TRY,0.00,40.00,0
2026-01,KCTR,PL,매출원가,매출원가,TRY,"71,721,958.13",40.00,"2,868,878,325"
2026-01,KCTR,PL,이익,매출총이익,TRY,"21,809,109.61",40.00,"872,364,384"
2026-01,KCTR,PL,판관비,판매비,TRY,"1,864,869.92",40.00,"74,594,797"
2026-01,KCTR,PL,판관비,관리비,TRY,"9,082,306.64",40.00,"363,292,265"
2026-01,KCTR,PL,이익,영업이익,TRY,"10,861,933.05",40.00,"434,477,322"
2026-02,KCTR,PL,매출,매출액,TRY,"116,722,409.26",40.00,"4,668,896,370"
2026-02,KCTR,PL,매출,상품매출,TRY,"116,722,409.26",40.00,"4,668,896,370"
2026-02,KCTR,PL,매출,기타매출,TRY,0.00,40.00,0
2026-02,KCTR,PL,매출원가,매출원가,TRY,"89,422,523.44",40.00,"3,576,900,938"
2026-02,KCTR,PL,이익,매출총이익,TRY,"27,299,885.81",40.00,"1,091,995,433"
2026-02,KCTR,PL,판관비,판매비,TRY,"2,111,319.24",40.00,"84,452,770"
2026-02,KCTR,PL,판관비,관리비,TRY,"10,967,150.24",40.00,"438,686,010"
2026-02,KCTR,PL,이익,영업이익,TRY,"14,221,416.33",40.00,"568,856,653"
2026-03,KCTR,PL,매출,매출액,TRY,"166,146,138.10",40.00,"6,645,845,524"
2026-03,KCTR,PL,매출,상품매출,TRY,"166,146,138.10",40.00,"6,645,845,524"
2026-03,KCTR,PL,매출,기타매출,TRY,0.00,40.00,0
2026-03,KCTR,PL,매출원가,매출원가,TRY,"127,209,759.41",40.00,"5,088,390,377"
2026-03,KCTR,PL,이익,매출총이익,TRY,"38,936,378.68",40.00,"1,557,455,147"
2026-03,KCTR,PL,판관비,판매비,TRY,"2,624,130.17",40.00,"104,965,207"
2026-03,KCTR,PL,판관비,관리비,TRY,"12,578,190.53",40.00,"503,127,621"
2026-03,KCTR,PL,이익,영업이익,TRY,"23,734,057.98",40.00,"949,362,319"
2026-04,KCTR,PL,매출,매출액,TRY,"138,597,698.77",40.00,"5,543,907,951"
2026-04,KCTR,PL,매출,상품매출,TRY,"138,597,698.77",40.00,"5,543,907,951"
2026-04,KCTR,PL,매출,기타매출,TRY,0.00,40.00,0
